bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publisher,years_since_publication
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,William Morrow Paperbacks,33.0
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,William Morrow Paperbacks,30.0
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,William Morrow Paperbacks,26.0
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,William Morrow Paperbacks,32.0
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,Ballantine Books,11.0
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1184,1710,91,Houghton Mifflin Harcourt,19.0
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398,2128944,13670,Houghton Mifflin Harcourt,20.0
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618260587,9780618260584,en-US,1216,1618,140,Houghton Mifflin Harcourt,21.0
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53,0618391002,9780618391004,eng,218,19822,46,Houghton Mifflin Harcourt,20.0
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224,359,6,Houghton Mifflin Harcourt,19.0
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,097669400X,9780976694007,eng,558,1430,59,Pragmatic Bookshelf,18.0
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,Atheneum Books for Young Readers: Richard Jackson Books,23.0
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4.0,1557344493,9781557344496,eng,48,36,2,Teacher Created Resources,29.0
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,Delacorte Press,22.0
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,Cherry Lane Music Company,20.0
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,en-US,228,99,16,The New Press,18.0
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,1595962808,9781595962805,eng,304,167,4,Changeling Press,18.0
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256,978,111,Viking Juvenile,17.0
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137,4454,302,Firebird,20.0
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,iUniverse,19.0
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,Shambhala,18.0
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369,345,12,Ivy Books,33.0
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,Amistad,17.0
68,The Known World,Edward P. Jones,3.83,006076273X,9780060762735,en-US,14,55,12,HarperAudio,19.0
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,Harper,19.0
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,FT Press,17.0
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,Archaia,18.0
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee,4.42,0374517193,9780374517199,eng,416,562,37,Farrar  Straus and Giroux,41.0
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,Farrar Straus Giroux,17.0
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,Farrar  Straus and Giroux,37.0
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,Farrar  Straus and Giroux,33.0
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,Farrar  Straus and Giroux,24.0
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,Farrar  Straus and Giroux,32.0
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160,698,52,Farrar  Straus and Giroux,29.0
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,Farrar  Straus and Giroux,29.0
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208,1341,98,Farrar  Straus and Giroux,36.0
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,Dramatists Play Service,21.0
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,Vintage,32.0
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1,Routledge,17.0
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,en-US,128,62,4,North Light Books,17.0
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,0800793617,9780800793616,eng,192,860,53,Chosen Books,20.0
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,en-US,108,77,2,Association for Supervision & Curriculum Development,26.0
93,Heidi (Heidi  #1-2),Johanna Spyri,3.99,0753454947,9780753454947,eng,352,153317,2257,Kingfisher,21.0
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192,55,5,ASCD,19.0
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46,1852402873,9781852402877,eng,192,34,6,Sovereign World,20.0
98,What to Expect the First Year (What to Expect),Heidi Murkoff,3.89,0761129588,9780761129585,eng,832,11797,659,Workman Publishing Company,20.0
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.82,0972016414,9780972016414,eng,123,34,8,One Hour Entertainment,19.0
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,en-US,128,78,4,North Light Books,19.0
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,Ace Books,36.0
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,Ace Books,36.0
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,Ace Books,36.0
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,en-US,592,784,21,Tor Books,19.0
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,Putnam,39.0
110,The Road to Dune,Frank Herbert,3.88,0765353709,9780765353702,eng,426,4789,83,Tor Science Fiction,17.0
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471,45388,644,Ace Books,36.0
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,Houghton Mifflin Harcourt,21.0
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,Ballantine Books,27.0
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,Delacorte Books for Young Readers,18.0
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell,4.28,0785260056,9780785260059,en-US,256,16,1,Thomas Nelson,19.0
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,Wiley,17.0
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,240,10,0,Heinemann Drama,23.0
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,William Morrow Paperbacks,18.0
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386,111,9,Wiley,17.0
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,3.62,0072262788,9780072262780,eng,260,24,0,McGraw-Hill,17.0
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,Wiley,19.0
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0,Wiley,17.0
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,en-US,391,22,1,Wiley,19.0
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,en-US,864,17,3,Wiley,18.0
141,Ruby Cookbook,Lucas Carlson,3.84,0596523696,9780596523695,eng,873,166,4,O'Reilly Media,17.0
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,Citadel,18.0
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,Citadel,18.0
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514,64,1,O'Reilly Media,16.0
151,Anna Karenina,Leo Tolstoy,4.05,0143035002,9780143035008,eng,838,16643,1851,Penguin Classics,19.0
152,Anna Karenina,Leo Tolstoy,4.05,0451528611,9780451528612,eng,960,109420,5696,Signet,21.0
153,Anna Karenina,Leo Tolstoy,4.05,0140449175,9780140449174,eng,837,2904,309,Penguin Books,20.0
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.85,0822001837,9780822001836,eng,80,16,3,Cliffs Notes,58.0
155,Anna Karenina,Leo Tolstoy,4.05,1593080271,9781593080273,eng,803,9564,726,Barnes & Noble Classics,20.0
156,Anna Karenina,Leo Tolstoy,4.05,0486437965,9780486437965,eng,752,474,72,Dover Publications,19.0
157,Anna Karenina,Leo Tolstoy,4.05,1593081774,9781593081775,eng,803,303,48,Barnes & Noble,19.0
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,Mira Books,17.0
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,Cambridge University Press,36.0
162,Untouchable,Mulk Raj Anand,3.71,0140183957,9780140183955,eng,160,3429,279,Penguin Books,33.0
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367,2163,216,Vintage,25.0
164,The Untouchables,Eliot Ness,3.89,1568491980,9781568491981,eng,256,613,31,Buccaneer Books,27.0
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,en-US,320,308,40,Scribner,18.0
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar,4.2,0932863051,9780932863058,eng,100,10,0,Clarity Press,28.0
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65,0742508803,9780742508804,eng,224,16,4,Rowman & Littlefield Publishers,23.0
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,eng,216,10,0,Pearson,20.0
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,4.0,1557344035,9781557344038,eng,48,17,0,Teacher Created Resources,32.0
180,Wrinkles in Time,George Smoot,4.01,0380720442,9780380720446,eng,360,1035,23,Harper Perennial,29.0
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,eng,250,36,6,EMC/Paradigm Publishing,21.0
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9780439271691,eng,32,15,0,Teaching Resources,21.0
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,0606105263,9780606105262,spa,205,6,1,Turtleback Books,39.0
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367,376,17,Little  Brown Book Group,29.0
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,William Morrow,17.0
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor,3.94,0743499344,9780743499347,en-US,320,352,44,Atria Books,18.0
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,eng,331,9852,633,Tor Books,17.0
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.9,1400032490,9781400032495,eng,244,821,78,Vintage Crime/Black Lizard,19.0
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.05,1400032482,9781400032488,eng,215,731,72,Vintage Crime/Black Lizard,18.0
216,Miami Blues (Hoke Moseley #1),Charles Willeford,3.94,1400032466,9781400032464,eng,191,2897,178,Vintage Crime/Black Lizard,19.0
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144,98,11,Vintage,33.0
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738,20888,1688,Picador USA,18.0
237,Poetry for Young People: Edward Lear,Edward Lear,3.91,0806930772,9780806930770,eng,48,66,19,Sterling,22.0
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,9780140366600,eng,287,81,6,Puffin,27.0
245,Henry Miller on Writing,Henry Miller,4.22,0811201120,9780811201124,eng,217,981,52,New Directions Publishing,59.0
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154,3381,141,Grove Press,29.0
249,Tropic of Cancer,Henry Miller,3.68,0802131786,9780802131782,eng,318,53206,2376,Grove Press,29.0
250,Tropic of Capricorn,Henry Miller,3.78,0802151825,9780802151827,eng,348,14872,459,Grove Press,29.0
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,0802151787,9780802151780,eng,316,3261,58,Grove Press,29.0
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,0802151809,9780802151803,eng,506,7805,251,Grove Press,29.0
253,The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,9780811201063,eng,292,2699,142,New Directions,53.0
264,The Portrait of a Lady,Henry James,3.78,0141439637,9780141439631,eng,797,61640,1951,Penguin Classics,20.0
269,The Portrait of a Lady,Henry James,3.78,1593080964,9781593080969,eng,635,392,41,Barnes  Noble Classics,19.0
277,Writing,Marguerite Duras,3.75,1571290532,9781571290533,eng,91,778,44,Brookline Books,24.0
278,The War,Marguerite Duras,3.85,1565842219,9781565842212,eng,192,963,65,The New Press,29.0
280,The Ravishing of Lol Stein,Marguerite Duras,3.66,0394743040,9780394743042,en-US,181,2057,128,Pantheon,37.0
285,Love Letters,Kahlil Gibran,3.68,1851681825,9781851681822,eng,178,203,8,One World (UK),24.0
288,Kahlil Gibran: His Life and World,Jean Gibran,4.21,156656249X,9781566562492,eng,464,35,2,Interlink Publishing Group,25.0
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran,4.19,014019553X,9780140195538,eng,102,328,16,Penguin Books,25.0
290,Jesus the Son of Man,Kahlil Gibran,3.98,0394431243,9780394431246,eng,216,1308,82,Knopf,28.0
291,The Broken Wings,Kahlil Gibran,3.92,0806501901,9780806501901,eng,132,6432,517,Citadel,20.0
292,Sand and Foam,Kahlil Gibran,4.08,067943920X,9780679439202,eng,100,3015,217,Knopf,12.0
295,Treasure Island,Robert Louis Stevenson,3.83,0753453800,9780753453803,eng,311,318753,6734,Kingfisher,22.0
296,Treasure Island,Robert Louis Stevenson,3.83,1402714572,9781402714573,en-US,213,420,42,Sterling Children's Books,19.0
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9781416500292,eng,245,5967,276,Simon & Schuster,18.0
298,Treasure Island,Robert Louis Stevenson,3.83,0689854684,9780689854682,eng,64,104,14,Atheneum Books for Young Readers,20.0
299,Treasure Island,Robert Louis Stevenson,3.83,0517221144,9780517221143,en-US,272,56,4,Gramercy Books,21.0
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken,4.05,1577658051,9781577658054,eng,232,91,16,Abdo Publishing Company,17.0
313,100 Years of Lynchings,Ralph Ginzburg,4.61,0933121180,9780933121188,eng,270,88,4,Black Classic Press,27.0
324,Cien años de soledad,Gabriel García Márquez,4.07,0785950109,9780785950103,spa,448,63,7,French & European,33.0
330,On Beyond Zebra!,Dr. Seuss,4.04,0394800842,9780394800844,eng,64,2815,164,Random House Books for Young Readers,68.0
332,The Wedding Clause,Debbie Raleigh,3.6,0821778250,9780821778258,eng,256,95,13,Zebra,18.0
333,The Zebra Wall,Kevin Henkes,3.44,0060733039,9780060733032,eng,147,217,24,Greenwillow Books,18.0
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9788432216060,spa,239,4136,255,Booket,21.0
348,The Door Into Summer,Robert A. Heinlein,4.01,0345413997,9780345413994,eng,304,17232,649,Del Rey,26.0
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,9780441788385,eng,528,251872,6241,Ace,32.0
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,9780441748600,en-US,434,10293,193,Ace Books,35.0
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,9780345316509,en-US,439,15970,438,Del Rey,38.0
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,9780765314932,eng,256,6898,200,Tor Books,17.0
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,9780671742515,en-US,307,67803,1401,Pocket Books,32.0
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,0345455290,9780345455291,eng,298,22091,746,Del Rey,18.0
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,0345476514,9780345476517,eng,368,2623,49,Del Rey,18.0
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,0345368436,9780345368430,eng,256,885,84,Ballantine Books,25.0
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,3.93,1417622857,9781417622856,eng,336,5,0,Turtleback Books,20.0
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus,4.13,0573650969,9780573650963,eng,72,100,13,Samuel French  Inc.,12.0
385,On Bullshit,Harry G. Frankfurt,3.57,0691122946,9780691122946,eng,67,9358,995,Princeton University Press,18.0
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,9780393329407,eng,347,9318,907,W. W. Norton & Company,18.0
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,0671867423,9780671867423,en-US,317,120,15,Simon & Schuster,30.0
397,The Gettysburg Address,Abraham Lincoln,4.53,0395883970,9780395883976,eng,32,5239,76,HMH Books for Young Readers,25.0
399,Underworld,Don DeLillo,3.92,0684848155,9780684848150,eng,827,1505,175,Scribner,25.0
400,Libra,Don DeLillo,3.99,0140156046,9780140156041,eng,480,11857,564,Penguin,32.0
403,Americana,Don DeLillo,3.43,0140119485,9780140119480,eng,377,393,55,Penguin Books,34.0
404,Running Dog,Don DeLillo,3.43,0679722947,9780679722946,eng,256,1356,72,Vintage Contemporaries,34.0
406,Cosmopolis,Don DeLillo,3.22,0743244257,9780743244251,eng,224,460,41,Scribner,19.0
407,Great Jones Street,Don DeLillo,3.48,0140179178,9780140179170,eng,272,2492,145,Penguin Books,29.0
408,The Names,Don DeLillo,3.64,0679722955,9780679722953,eng,339,3100,212,Vintage,34.0
409,Against the Day,Thomas Pynchon,4.13,159420120X,9781594201202,eng,1085,5296,587,Penguin Press,17.0
410,V.,Thomas Pynchon,3.96,0060930217,9780060930219,eng,547,1415,177,Harper Perennial Modern Classics,18.0
411,The Crying of Lot 49,Thomas Pynchon,3.69,0060931671,9780060931674,eng,152,2161,230,Harper Perennial,24.0
412,Gravity's Rainbow,Thomas Pynchon,4.01,0140283382,9780140283389,eng,784,762,213,Penguin Books,23.0
413,Mason & Dixon,Thomas Pynchon,4.07,0312423209,9780312423209,eng,773,8086,602,Picador USA,19.0
414,Vineland,Thomas Pynchon,3.69,0141180633,9780141180632,en-US,385,702,69,Penguin Classics,26.0
415,Gravity's Rainbow,Thomas Pynchon,4.01,0143039946,9780143039945,eng,776,29764,2164,Penguin Books,17.0
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,0316724432,9780316724432,eng,193,334,34,Back Bay Books,38.0
418,Been Down So Long It Looks Like Up To Me,Richard Fariña,3.8,0140189300,9780140189308,eng,352,2473,220,Penguin Classics,27.0
420,The Year of Magical Thinking,Joan Didion,3.89,140004314X,9781400043149,en-US,227,2656,336,Knopf Publishing Group,18.0
421,The White Album,Joan Didion,4.17,0374522219,9780374522216,eng,222,11889,738,Farrar Straus Giroux,33.0
422,A Book of Common Prayer,Joan Didion,3.8,0679754865,9780679754862,eng,272,2962,255,Vintage International,28.0
423,Where I Was From,Joan Didion,3.86,0679752862,9780679752868,eng,240,2842,292,Vintage,19.0
424,Slouching Towards Bethlehem,Joan Didion,4.21,0374521727,9780374521721,eng,238,26934,1825,Farrar Straus Giroux,33.0
425,Democracy,Joan Didion,3.81,0679754857,9780679754855,en-US,234,2070,169,Vintage International,28.0
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion,4.5,0307264874,9780307264879,eng,1122,1564,108,Everyman's Library,17.0
428,Play It As It Lays,Joan Didion,3.87,0374529949,9780374529949,eng,231,23656,1706,Farrar  Straus and Giroux,18.0
431,The New York Trilogy,Paul Auster,3.89,0143039830,9780143039839,eng,308,43200,1873,Penguin Classics,17.0
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,0140097317,9780140097313,eng,203,12410,734,Penguin Books,36.0
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,014009735X,9780140097351,eng,96,3672,195,Penguin Books,36.0
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,0940650762,9780940650763,eng,179,2998,164,Sun and Moon Press,37.0
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon,3.89,0963188925,9780963188922,eng,256,74,2,Sky Books (NY),28.0
446,The Brooklyn Follies,Paul Auster,3.84,0312426232,9780312426231,eng,306,17977,1157,Picador,17.0
447,Moon Palace,Paul Auster,3.94,0140115854,9780140115857,eng,320,16099,503,Penguin Books,33.0
453,The Music of Chance,Paul Auster,3.9,0140154078,9780140154078,en-US,217,361,36,Penguin Books,32.0
454,Travels in the Scriptorium,Paul Auster,3.23,0805081453,9780805081459,eng,145,6688,562,Henry Holt & Company,16.0
456,Leviathan,Paul Auster,3.96,0140178139,9780140178135,eng,275,11744,443,Penguin Books,30.0
463,The Red Notebook: True Stories,Paul Auster,3.77,0811214982,9780811214988,eng,104,2390,120,New Directions,21.0
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,2742741461,9782742741465,fre,1075,21,1,Actes Sud,21.0
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,0143036556,9780143036555,eng,608,52522,2780,Penguin Books Ltd. (London),18.0
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb,3.4,0446579785,9780446579780,en-US,211,213,26,Business Plus,17.0
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,052138673X,9780521386739,eng,262,719,86,Cambridge University Press,33.0
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,0743203046,9780743203043,eng,544,4762,512,Simon  Schuster,22.0
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,034543871X,9780345438713,eng,272,62,4,Ballantine Books,21.0
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo,4.39,0393318281,9780393318289,eng,576,278,20,W. W. Norton  Company,25.0
493,My Inventions,Nikola Tesla,4.01,1599869942,9781599869940,eng,88,2862,262,Filiquarian Publishing  LLC.,17.0
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer,3.78,0806519606,9780806519609,eng,542,2829,334,Citadel,22.0
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,0822549204,9780822549208,eng,144,105,5,Lerner Publications,29.0
